Município,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,Product
Congonhas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Wood
Conselheiro Lafaiete,0,0,0,0,0,0,0,0,0,0,0,0,12706,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Contagem,4511,1543,2193,1607,6707,23,1243,0,37,0,560,0,0,263,0,15560,45,34,78,0,0,465,5866,14550,7241,Wood
Cordeirópolis,0,0,0,621,18058,4830,142825,43996,25120,0,2300,6020,19600,0,0,0,286,186,0,0,0,0,0,3016,0,Wood
Corinto,35,0,300,0,0,113,0,1400,0,0,20,0,0,0,30,0,0,13,109,68,0,0,0,0,0,Wood
Correntina,0,0,0,0,104490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Corumbá,36859,20271,58120,35828,50879,101204,105838,102309,228156,160528,229514,150314,95541,6636,72148,6913,90906,25894,1080,0,15706,43526,45647,66246,16425,Wood
Cosmópolis,40,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,Wood
Costa Marques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91880,0,0,0,0,Wood
Cotia,1055256,132676,751,2647,1593,6603,6182,5620,5045,1606,4,7829,502271,1411353,1977667,622400,2557375,4010809,396677,2122670,644181,358128,857951,435239,853563,Wood
Cotriguaçu,5841098,5928343,6398101,4355592,4373858,4256377,3381836,4130844,3889223,3547164,4672029,5211770,6147708,8473325,9843129,15594091,18321318,18858990,16110318,17612439,19282797,25732861,9552817,6605389,3299681,Wood
Cristalina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,Wood
Cristiano Otoni,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Crixás,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Cruz das Almas,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Cruzeiro,0,48,527,0,0,0,0,0,0,0,0,0,0,2183508,4148639,8416875,6740360,5955135,3891312,1864221,2683518,926071,694943,649898,659783,Wood
Cruzeiro do Sul,0,6,0,0,0,0,0,0,0,0,0,0,0,149224,511857,338492,0,144407,0,0,0,0,0,0,0,Wood
Cubatão,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,Wood
Cuiabá,1433219,2317032,1763055,2534811,653816,1279,37500,66797,637208,305957,954474,2353375,2755050,4527867,4101388,5990846,10542262,11292601,5880223,4414015,6504130,12039206,12690306,8413121,6707644,Wood
Cujubim,0,0,0,0,0,0,0,0,40000,306820,445518,239030,304311,1087145,1869203,1144994,1014656,865606,460568,2031217,1658074,1273344,3573944,6192514,4756891,Wood
Cunha,0,0,0,0,0,0,0,0,0,0,0,0,343,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Curvelo,0,0,19,0,0,0,0,0,0,0,0,0,111310,486,1552828,4572823,7728365,12877696,1882029,2711969,3151015,3514568,2357317,300805,0,Wood
